country,facility_name,town,address,latitude,longitude,coord_precision,outdoor_courts,surface,lighting,free_use,access,owner,lipas_id,source_url,data_cutoff,fact_check_notes,permalink
FINLAND,Hyypiänniementien beachvolleykenttä,Enonkoski,"Hyypiänniementie, 58175 Enonkoski",62.092976,28.906239,address,2,sand,,yes,public,city,"518697, 518698",http://www.enonkoski.fi,2026-05-13,"Merged 2 LIPAS entries (ids: 518697, 518698); LIPAS id 518697; type 1330; status active",fi-out-518697-518698-hyypianniementien-beachvolleykentta
FINLAND,Hetan beachvolleykenttä,Enontekiö,"Ounastie 157, 99400 Enontekiö",68.384622,23.641859,address,1,sand,,,public,unknown,611089,www.enontekio.fi,2026-05-13,LIPAS id 611089; type 1330; status active,fi-out-611089-hetan-beachvolleykentta
FINLAND,Espoonlahden urheilupuiston beachvolleykenttä,Espoo,"Espoonlahdentie 2-4, 02320 Espoo",60.145980,24.659505,address,1,sand,,yes,school,city,102051,https://www.espoo.fi/fi/espoo-liikkuu,2026-05-13,LIPAS id 102051; type 1330; status active,fi-out-102051-espoonlahden-urheilupuiston-beachvolleykentta
FINLAND,Haukilahden uimarannan beachvolleykenttä,Espoo,"Mellstenintie 6, 02170 Espoo",60.154360,24.773743,address,1,sand,yes,yes,public,city,102093,https://www.espoo.fi/fi/espoo-liikkuu,2026-05-13,LIPAS id 102093; type 1330; status active,fi-out-102093-haukilahden-uimarannan-beachvolleykentta
FINLAND,Iso Vasikkasaaren beachvolleykenttä,Espoo,"Iso Vasikkasaari, 02230 Espoo",60.140809,24.761736,address,1,sand,,yes,public,city,526446,https://espoo.fi/liikunta,2026-05-13,LIPAS id 526446; type 1330; status active,fi-out-526446-iso-vasikkasaaren-beachvolleykentta
FINLAND,Kaitaan koulun beachvolleykenttä,Espoo,"Iivisniementie 1, 02260 Espoo",60.149531,24.698082,address,1,sand,yes,yes,school,city,523470,https://www.espoo.fi/fi/espoo-liikkuu,2026-05-13,LIPAS id 523470; type 1330; status active,fi-out-523470-kaitaan-koulun-beachvolleykentta
FINLAND,Keski-Espoon urheilupuiston beachvolleykenttä,Espoo,"Kylävainiontie18, 02770 Espoo",60.211058,24.673999,address,1,sand,yes,yes,public,city,527036,https://www.espoo.fi/fi/espoo-liikkuu,2026-05-13,LIPAS id 527036; type 1330; status active,fi-out-527036-keski-espoon-urheilupuiston-beachvolleykentta
FINLAND,Kivenlahden uimarannan beachvolleykenttä,Espoo,"Merivalkama 11, 02320 Espoo",60.154411,24.625865,address,1,sand,,yes,school,city,102079,https://www.espoo.fi/fi/espoo-liikkuu,2026-05-13,LIPAS id 102079; type 1330; status active,fi-out-102079-kivenlahden-uimarannan-beachvolleykentta
FINLAND,Laaksolahden uimarannan beachvolleykenttä,Espoo,"Lähdepurontie 1, 02730 Espoo",60.247109,24.748355,address,1,sand,,yes,public,city,102195,https://www.espoo.fi/fi/espoo-liikkuu,2026-05-13,LIPAS id 102195; type 1330; status active,fi-out-102195-laaksolahden-uimarannan-beachvolleykentta
FINLAND,Leppävaaran maauimalan beachvolleykenttä,Espoo,"Veräjäpellonkatu 15, 02650 Espoo",60.225266,24.803612,address,1,sand,yes,,public,city,527339,https://www.espoo.fi/fi/espoo-liikkuu,2026-05-13,LIPAS id 527339; type 1330; status active,fi-out-527339-leppavaaran-maauimalan-beachvolleykentta
FINLAND,Leppävaaran urheilupuiston beachvolley-kenttä,Espoo,"Veräjäpellonkatu 17, 02650 Espoo",60.227144,24.793839,address,1,,,,public,city,617650,,2026-05-13,LIPAS id 617650; type 1330; status active,fi-out-617650-leppavaaran-urheilupuiston-beachvolley-kentta
FINLAND,Lillhemtinpuiston beachvolleykenttä,Espoo,"Vanha Lillhemtintie 1, 02250 Espoo",60.186104,24.734431,address,1,sand,yes,yes,public,city,523426,https://espoo.fi/liikunta,2026-05-13,LIPAS id 523426; type 1330; status active,fi-out-523426-lillhemtinpuiston-beachvolleykentta
FINLAND,Luukin ulkoilualue / Beachvolleykenttä 1,Espoo,"Luukintie 33, 02970 Espoo",60.315720,24.695699,address,1,sand,,yes,public,city,101833,https://www.hel.fi/fi/kulttuuri-ja-vapaa-aika/ulkoilu-puistot-ja-luontokohteet/ulkoilualueet/luukin-ulkoilualue,2026-05-13,LIPAS id 101833; type 1330; status active,fi-out-101833-luukin-ulkoilualue-beachvolleykentta-1
FINLAND,Matinkylän Rantametsän beachvolleykenttä,Espoo,"Iirislahdentie 19b, 02230 Espoo",60.155939,24.756677,address,1,sand,,yes,public,city,527362,https://www.espoo.fi/fi/espoo-liikkuu,2026-05-13,LIPAS id 527362; type 1330; status active,fi-out-527362-matinkylan-rantametsan-beachvolleykentta
FINLAND,Matinkylän uimarannan beachvolleykenttä,Espoo,"Matinlahdenranta 1, 02230 Espoo",60.151023,24.757439,address,4,sand,,yes,public,city,"523343, 526796",https://www.espoo.fi/fi/espoo-liikkuu,2026-05-13,"Merged 2 LIPAS entries (ids: 523343, 526796); LIPAS id 523343; type 1330; status active",fi-out-523343-526796-matinkylan-uimarannan-beachvolleykentta
FINLAND,Matinkylän uimarannan beachvolleykenttä 3,Espoo,"Matinlahdenranta 1, 02230 Espoo",60.150580,24.754754,address,1,sand,,yes,public,city,527203,https://www.espoo.fi/fi/espoo-liikkuu,2026-05-13,LIPAS id 527203; type 1330; status active,fi-out-527203-matinkylan-uimarannan-beachvolleykentta-3
FINLAND,Olarin kentän beachvolleykenttä,Espoo,"Olarinniityntie 4, 02210 Espoo",60.178895,24.735810,address,1,sand,yes,yes,school,city,523419,https://www.espoo.fi/fi/espoo-liikkuu,2026-05-13,LIPAS id 523419; type 1330; status active,fi-out-523419-olarin-kentan-beachvolleykentta
FINLAND,Opinmäen koulun beachvolleykenttä,Espoo,"Lillhemtintie 1, 02250 Espoo",60.190683,24.736442,address,1,sand,yes,yes,school,city,523432,https://www.espoo.fi/fi/espoo-liikkuu,2026-05-13,LIPAS id 523432; type 1330; status active,fi-out-523432-opinmaen-koulun-beachvolleykentta
FINLAND,Päivänkehrän koulun beachvolleykenttä,Espoo,"Päivänkehräntie 2, 02210 Espoo",60.172575,24.738074,address,1,sand,yes,yes,school,city,529431,https://www.espoo.fi/fi/espoo-liikkuu,2026-05-13,LIPAS id 529431; type 1330; status active,fi-out-529431-paivankehran-koulun-beachvolleykentta
FINLAND,Röylän koulun beachvolleykenttä,Espoo,"Snettansintie 41, 02940 Espoo",60.297245,24.693651,address,1,sand,,,school,city,529428,https://www.espoo.fi/fi/espoo-liikkuu,2026-05-13,LIPAS id 529428; type 1330; status active,fi-out-529428-roylan-koulun-beachvolleykentta
FINLAND,Smökin beachvolleykenttä,Espoo,"Jämeräntaival 4, 02150 Espoo",60.188475,24.835821,address,1,sand,,,public,foundation,527548,https://ayy.fi/jasenille/palvelut/tilojen-vuokraaminen/sitsi-peli-ja-kokoustilat/servin-mokki/,2026-05-13,LIPAS id 527548; type 1330; status active,fi-out-527548-smokin-beachvolleykentta
FINLAND,Suinonpuiston beachvolleykenttä,Espoo,"Suvisaarentie 27 B, 02380 Espoo",60.126936,24.708927,address,1,sand,,yes,public,city,521014,https://www.espoo.fi/fi/espoo-liikkuu,2026-05-13,LIPAS id 521014; type 1330; status active,fi-out-521014-suinonpuiston-beachvolleykentta
FINLAND,Uusmäen beachvolleykenttä,Espoo,"Sotilastorpantie 19, 02680 Espoo",60.238994,24.823681,address,1,sand,yes,yes,public,city,527328,https://espoo.fi/liikunta,2026-05-13,LIPAS id 527328; type 1330; status active,fi-out-527328-uusmaen-beachvolleykentta
FINLAND,Vanttilan koulun beachvolleykenttä,Espoo,"Nissintie 2, 02780 Espoo",60.183738,24.616603,address,1,sand,,yes,school,city,527331,https://www.espoo.fi/fi/espoo-liikkuu,2026-05-13,LIPAS id 527331; type 1330; status active,fi-out-527331-vanttilan-koulun-beachvolleykentta
