country,facility_name,town,address,latitude,longitude,coord_precision,outdoor_courts,surface,lighting,free_use,access,owner,lipas_id,source_url,data_cutoff,fact_check_notes
FINLAND,Mäyryn uimarannan beachvolleykenttä,Mäyry,"Vierteentie 98, 63130 Mäyry",62.760363,23.519020,address,1,sand,,yes,public,city,516892,http://www.kuortane.fi,2026-05-09,LIPAS id 516892; type 1330; status active
FINLAND,Kangasjärven beach volley -kenttä,Möykky,"Kangasjärventie 633, 64850 Möykky",62.167409,22.001677,address,1,sand,,,public,city,102068,,2026-05-09,LIPAS id 102068; type 1330; status active
FINLAND,Niemisjärven rantalentopallokenttä,NIEMISJÄRVI,"Purrintie 24, 41490 NIEMISJÄRVI",62.279170,26.348009,address,,sand,,,public,city,617697,https://hankasalmi.fi/kulttuuri-liikunta-ja-nuoret/liikuntapalvelut/ulkoliikunta/,2026-05-09,LIPAS id 617697; type 1330; status active
FINLAND,Niittylahden beachvolleykenttä,NIITTYLAHTI,"Vallesmannintie 9, 82220 NIITTYLAHTI",62.509198,29.816424,address,1,sand,,yes,public,city,517634,https://www.joensuu.fi/liikunta,2026-05-09,LIPAS id 517634; type 1330; status active
FINLAND,Kalevanniemen beachvolleykenttä 1,Naantali,"Venevalkamantie 2, 21100 Naantali",60.474044,22.031937,address,1,sand,,yes,public,city,102073,https://www.naantali.fi/fi/kulttuuri-ja-liikunta/liikunta-ja-ulkoilu,2026-05-09,LIPAS id 102073; type 1330; status active
FINLAND,Kalevanniemen beachvolleykenttä 2,Naantali,"Venevalkamantie 6, 21100 Naantali",60.473469,22.028526,address,1,sand,,yes,public,city,508127,https://www.naantali.fi/fi/kulttuuri-ja-liikunta/liikunta-ja-ulkoilu,2026-05-09,LIPAS id 508127; type 1330; status active
FINLAND,Kesärannan beachvolleykenttä,Naantali,"Santalantie, 21100 Naantali",60.455665,21.941970,address,1,sand,,yes,public,city,511643,https://raisio.fi/fi/kulttuuri-ja-vapaa-aika/liikunta-ja-ulkoilu/puistot-ja-ulkoilualueet/virkistysalueet/kesaranta,2026-05-09,LIPAS id 511643; type 1330; status active
FINLAND,Matallahden beach-volley kenttä,Naantali,"Venda, 21100 Naantali",60.449208,21.968701,address,,sand,,yes,public,city,611460,https://www.naantali.fi/fi/uutiset/matalahden-rantaan-avattiin-monipuolinen-lahiliikuntapaikka,2026-05-09,LIPAS id 611460; type 1330; status active
FINLAND,Taimon beachvolleykenttä,Naantali,"Koivumäentie 8, 21110 Naantali",60.483239,22.028769,address,1,sand,,yes,public,city,508129,https://www.naantali.fi/fi/kulttuuri-ja-liikunta/liikunta-ja-ulkoilu,2026-05-09,LIPAS id 508129; type 1330; status active
FINLAND,Vilhulan beachvolleykenttä,Naarajärvi,"Seurapirtintie, 76850 Naarajärvi",62.311821,27.045319,address,1,sand,,,public,city,514600,www.sportpieksamaki.fi,2026-05-09,LIPAS id 514600; type 1330; status active
FINLAND,Pajulahden beachvolleykenttä,Nastola,"Pajulahdentie 167, 15560 Nastola",60.968649,25.941952,address,1,sand,,,public,company-ltd,515346,http://www.pajulahti.com/,2026-05-09,LIPAS id 515346; type 1330; status active
FINLAND,Erkkilän beachvolleykenttä,Nivala,"Erkkiläntie 132 A, 85500 Nivala",63.971327,25.046274,address,,sand,,,public,company-ltd,604586,,2026-05-09,LIPAS id 604586; type 1330; status active
FINLAND,Järvikylän koulun beachvolleykenttä,Nivala,"Antteroisenkuja 2, 85500 Nivala",63.890512,24.945619,address,1,sand,,yes,school,city,515276,http://www.nivala.fi/,2026-05-09,LIPAS id 515276; type 1330; status active
FINLAND,Kalliosaaren beachvolleykenttä 2,Nivala,"Kalliosaarentie, 85500 Nivala",63.922703,24.957017,address,1,sand,,yes,public,city,515286,,2026-05-09,LIPAS id 515286; type 1330; status active
FINLAND,Kalliosaarentien beachvolleykenttä 1,Nivala,"Kalliosaarentie, 85500 Nivala",63.922785,24.957153,address,1,sand,,yes,public,city,506796,,2026-05-09,LIPAS id 506796; type 1330; status active
FINLAND,Leppäkerttupuiston beachvolleykenttä,Nivala,"Asematie/Haapajärventie, 85500 Nivala",63.934071,24.956418,address,1,sand,yes,yes,public,city,506791,,2026-05-09,LIPAS id 506791; type 1330; status active
FINLAND,Padel247 / beachvolleykenttä,Nokia,"Kivimiehenkatu 14, 37100 Nokia",61.483366,23.571526,address,,,,,public,company-ltd,609787,https://padel247.fi/,2026-05-09,LIPAS id 609787; type 1330; status active
FINLAND,Viholan beachvolleykenttä,Nokia,"Ojanteentie, 37120 Nokia",61.459254,23.521793,address,1,sand,,,public,city,515265,http://www.nokiankaupunki.fi/,2026-05-09,LIPAS id 515265; type 1330; status active
FINLAND,Valpperin beachvolleykenttä,Nousiainen,"Urheilutie 35, 21270 Nousiainen",60.667463,22.265784,address,1,sand,,,public,registered-association,521130,,2026-05-09,LIPAS id 521130; type 1330; status active
FINLAND,Vanhan juna-aseman beachvolleykenttä 1,Nousiainen,"Laaleistentie 27, 21270 Nousiainen",60.591288,22.057200,address,,sand,,,public,registered-association,508144,www.vanha-asema.fi,2026-05-09,LIPAS id 508144; type 1330; status active
FINLAND,Vanhan juna-aseman beachvolleykenttä 2,Nousiainen,"Laaleistentie 27, 21270 Nousiainen",60.591346,22.056662,address,,sand,,,public,registered-association,616951,www.vanha-asema.fi,2026-05-09,LIPAS id 616951; type 1330; status active
FINLAND,Hyvärilän beachvolleykenttä 1,Nurmes,"Lomatie 12, 75500 Nurmes",63.530850,29.202473,address,1,sand,,,public,company-ltd,101226,http://www.hyvarila.com/,2026-05-09,LIPAS id 101226; type 1330; status active
FINLAND,Hyvärilän beachvolleykenttä 2,Nurmes,"Lomatie 12, 75500 Nurmes",63.530897,29.202658,address,1,sand,,,public,company-ltd,515208,http://www.hyvarila.com/,2026-05-09,LIPAS id 515208; type 1330; status active
FINLAND,Hyvärilän beachvolleykenttä 3,Nurmes,"Lomatie 12, 75500 Nurmes",63.530933,29.202778,address,1,sand,,,public,company-ltd,604440,http://www.hyvarila.com/,2026-05-09,LIPAS id 604440; type 1330; status active
FINLAND,Hyvärilän beachvolleykenttä 4,Nurmes,"Lomatie 12, 75500 Nurmes",63.531011,29.202953,address,1,sand,,,public,company-ltd,604441,http://www.hyvarila.com/,2026-05-09,LIPAS id 604441; type 1330; status active
FINLAND,Hyvärilän beachvolleykenttä 5,Nurmes,"Lomatie 12, 75500 Nurmes",63.531063,29.203098,address,1,sand,,,public,company-ltd,604442,http://www.hyvarila.com/,2026-05-09,LIPAS id 604442; type 1330; status active
FINLAND,Hyvärilän beachvolleykenttä 6,Nurmes,"Lomatie 12, 75500 Nurmes",63.531127,29.203253,address,1,sand,,,public,company-ltd,604443,http://www.hyvarila.com/,2026-05-09,LIPAS id 604443; type 1330; status active
